RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Category Left	Index Right	Index Left	Pupil Diameter Right [mm]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Right	AOI Name Left	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
499575.91	21:24:16:449	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	4.00	4.00	562.34	-69.34	751.29	-250.53	319.71	134.28	-	-	-0.07	0.38	0.92	0.22	0.12	0.97	00:00:00:000	-	-	-	-	-	-	-	-
499592.00	21:24:16:465	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	2.82	2.46	647.67	753.85	660.46	733.24	585.33	731.79	-	-	-0.01	-0.37	0.93	0.01	-0.37	0.93	00:00:00:000	-	-	-	-	-	-	-	-
499609.21	21:24:16:482	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	3.58	3.04	648.62	432.95	695.05	405.03	552.75	479.53	-	-	-0.04	-0.10	0.99	0.04	-0.17	0.99	00:00:00:041	-	-	-	-	-	-	-	-
499625.74	21:24:16:499	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	3.76	3.14	647.86	390.59	694.13	375.50	551.62	429.30	-	-	-0.04	-0.08	1.00	0.04	-0.12	0.99	00:00:00:041	-	-	-	-	-	-	-	-
499642.00	21:24:16:515	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Blink	-	1	3.80	3.18	646.95	376.14	692.14	367.56	551.54	408.95	-	-	-0.04	-0.07	1.00	0.04	-0.11	0.99	00:00:00:041	-	-	-	-	-	-	-	-
499658.74	21:24:16:532	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.18	648.12	369.62	692.19	363.39	553.64	399.91	-	-	-0.04	-0.07	1.00	0.04	-0.10	0.99	00:00:00:041	-	-	-	-	-	-	-	-
499674.93	21:24:16:548	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.20	649.25	363.43	691.32	353.77	556.73	396.78	-	-	-0.04	-0.06	1.00	0.03	-0.10	0.99	00:00:00:082	-	-	-	-	-	-	-	-
499691.78	21:24:16:565	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.82	3.18	649.92	358.79	692.75	348.12	556.62	393.82	-	-	-0.04	-0.06	1.00	0.03	-0.09	0.99	00:00:00:082	-	-	-	-	-	-	-	-
499708.40	21:24:16:581	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.18	653.62	356.86	696.91	344.36	559.69	394.03	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:124	-	-	-	-	-	-	-	-
499724.69	21:24:16:598	Trial001	Jonathan-1-recording.avi	0.00	19399.71	Jonathan - antihistamine 1	Coral	100.00	Eye	-	Visual Intake	-	1	3.80	3.20	654.72	355.75	696.42	342.80	562.27	392.83	-	-	-0.04	-0.05	1.00	0.03	-0.09	1.00	00:00:00:124	-	-	-	-	-	-	-	-
