## [BeGaze]
## Converted from:	F:\SMI-A\Datapluseyetrack\Participant 1-[1a9076ea-ef2c-4c0b-bd9d-37769ae604b9]\Participant 1-1-unified.smi
## Date:	04.11.2015 16:29:07
## Version:	BeGaze 3.6.40
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	2949
## Reversed:	none
## [Run]
## Subject:	Participant 1
## Description:	Run1
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	, RIGHT
##
Time	Type	Trial	B POR X [px]	B POR Y [px]
365742024	SMP	1	783.15	30.58	
365758771	SMP	1	709.02	278.93	
365775369	SMP	1	627.80	551.89	
365791998	SMP	1	636.37	539.84	
365808744	SMP	1	633.76	539.06	
365824919	SMP	1	630.42	542.37	
365841735	SMP	1	629.39	547.44	
365858025	SMP	1	629.32	548.41	
365874988	SMP	1	625.81	553.02	
365891628	SMP	1	625.67	553.55	
365908075	SMP	1	624.42	554.61	
365925239	SMP	1	625.37	555.33	
365941183	SMP	1	623.19	556.58	
365958084	SMP	1	624.74	558.14	
365974229	SMP	1	624.26	560.93	
365990982	SMP	1	624.37	556.85	
366007511	SMP	1	624.04	556.94	
366024122	SMP	1	622.92	559.57	
366040887	SMP	1	623.15	562.88	
366057490	SMP	1	624.12	559.87	
366073933	SMP	1	623.09	560.20	
366090583	SMP	1	623.61	562.44	
366107042	SMP	1	623.10	561.00	
366126498	SMP	1	623.75	562.62	
366157310	SMP	1	623.55	563.15	
366173695	SMP	1	624.07	561.24	
366190262	SMP	1	621.93	562.42	
366206811	SMP	1	621.94	559.59	
366223241	SMP	1	621.54	559.78	
366240060	SMP	1	621.30	563.83	
366256505	SMP	1	621.64	563.95	
366273693	SMP	1	621.02	566.41	
366289665	SMP	1	619.63	566.59	
366306297	SMP	1	619.89	562.03	
366323061	SMP	1	618.83	563.54	
366339817	SMP	1	617.41	566.70	
366356760	SMP	1	618.77	567.45	
366372770	SMP	1	616.79	564.30	
366389860	SMP	1	616.87	562.93	
366406020	SMP	1	616.02	566.02	
366422811	SMP	1	617.11	563.27	
366439516	SMP	1	614.91	566.14	
366455766	SMP	1	615.39	566.12	
366472594	SMP	1	616.25	565.18	
366489117	SMP	1	616.42	563.31	
366505905	SMP	1	615.16	566.80	
366522416	SMP	1	615.56	564.85	
366538543	SMP	1	614.56	566.77	
366555590	SMP	1	615.77	567.40	
366571784	SMP	1	617.21	563.38	
366588812	SMP	1	616.28	564.49	
366605185	SMP	1	616.04	568.08	
366621494	SMP	1	617.43	568.07	
366638437	SMP	1	617.10	570.62	
366654781	SMP	1	617.61	572.13	
366671830	SMP	1	615.93	570.59	
366688396	SMP	1	617.85	572.49	
366704550	SMP	1	616.66	571.63	
366721777	SMP	1	615.88	574.57	
366737743	SMP	1	617.45	571.52	
366754555	SMP	1	616.51	574.01	
366771377	SMP	1	617.35	572.25	
366787418	SMP	1	614.80	575.33	
366804721	SMP	1	615.13	575.11	
366820730	SMP	1	615.63	573.31	
366837636	SMP	1	616.12	572.16	
366854344	SMP	1	615.13	573.25	
366870525	SMP	1	616.08	573.19	
366887287	SMP	1	615.60	572.04	
366903608	SMP	1	615.08	572.66	
366920663	SMP	1	615.59	572.74	
366937097	SMP	1	615.63	573.50	
366953870	SMP	1	616.06	571.75	
366970383	SMP	1	615.79	572.81	
366986694	SMP	1	614.45	573.54	
367003895	SMP	1	613.78	574.99	
367019960	SMP	1	614.65	575.43	
367036432	SMP	1	614.79	575.76	
367053374	SMP	1	614.14	574.87	
367069524	SMP	1	614.84	575.99	
367086265	SMP	1	614.89	575.68	
367102956	SMP	1	614.85	575.62	
367119269	SMP	1	615.57	573.83	
367136009	SMP	1	615.46	576.08	
367152684	SMP	1	615.51	574.62	
367169401	SMP	1	615.87	574.42	
367185865	SMP	1	616.71	574.22	
367202453	SMP	1	615.63	573.29	
367219248	SMP	1	618.96	573.01	
367235822	SMP	1	619.30	572.87	
367252674	SMP	1	619.03	575.41	
367269076	SMP	1	618.29	575.54	
367285542	SMP	1	619.15	575.67	
367302140	SMP	1	620.20	576.13	
367318685	SMP	1	620.81	574.83	
367335396	SMP	1	622.32	573.34	
367352260	SMP	1	621.05	576.21	
367368395	SMP	1	622.16	576.32	
367385042	SMP	1	621.39	577.73	
367401634	SMP	1	623.86	578.13	
367418231	SMP	1	624.32	576.30	
367435139	SMP	1	623.79	576.94	
367451214	SMP	1	624.42	576.41	
367468605	SMP	1	624.77	577.16	
367484464	SMP	1	624.59	578.93	
367501633	SMP	1	624.34	576.95	
367518139	SMP	1	623.37	581.24	
367534127	SMP	1	623.87	578.77	
367551232	SMP	1	623.94	577.06	
367567706	SMP	1	623.81	577.89	
367584170	SMP	1	625.70	578.26	
367601152	SMP	1	624.59	579.39	
367617357	SMP	1	623.11	581.07	
367634618	SMP	1	623.70	581.88	
367650634	SMP	1	625.11	580.36	
367667159	SMP	1	623.75	584.19	
367684337	SMP	1	624.60	583.34	
367700426	SMP	1	621.95	583.53	
367716930	SMP	1	621.89	583.92	
367733617	SMP	1	624.19	581.38	
367750324	SMP	1	621.15	583.01	
367766881	SMP	1	621.44	583.37	
367783434	SMP	1	620.83	582.87	
367800043	SMP	1	621.29	581.80	
367816368	SMP	1	620.89	582.36	
367833324	SMP	1	622.08	581.99	
367849916	SMP	1	620.64	583.62	
367866232	SMP	1	620.67	581.74	
367883385	SMP	1	620.60	582.12	
367899566	SMP	1	620.37	580.35	
367915968	SMP	1	621.04	578.59	
367932894	SMP	1	621.09	580.81	
367949341	SMP	1	621.05	579.13	
367966069	SMP	1	623.30	578.15	
367982348	SMP	1	621.18	578.98	
367999182	SMP	1	621.92	578.89	
368015927	SMP	1	621.00	580.59	
368032186	SMP	1	622.57	578.59	
368049487	SMP	1	622.75	578.81	
368065446	SMP	1	621.36	578.69	
368082117	SMP	1	619.86	580.37	
368098738	SMP	1	622.98	579.99	
368115558	SMP	1	621.71	580.28	
368131994	SMP	1	621.00	579.69	
368148492	SMP	1	621.02	578.42	
368164967	SMP	1	623.65	577.60	
368181559	SMP	1	622.30	579.74	
368198221	SMP	1	622.82	579.41	
368214756	SMP	1	623.21	577.82	
368231177	SMP	1	623.39	580.20	
368248014	SMP	1	623.60	580.03	
368264752	SMP	1	622.47	578.29	
368281298	SMP	1	622.38	578.96	
368297877	SMP	1	622.66	578.26	
368314402	SMP	1	623.54	577.87	
368331099	SMP	1	623.34	578.05	
368347895	SMP	1	622.29	578.68	
368364195	SMP	1	621.18	580.83	
368381294	SMP	1	623.69	579.43	
368397527	SMP	1	621.50	578.89	
368413917	SMP	1	621.19	578.77	
368430610	SMP	1	621.53	580.27	
368447046	SMP	1	621.53	580.66	
368463722	SMP	1	621.02	581.11	
368480275	SMP	1	622.00	579.82	
368496820	SMP	1	621.55	580.97	
368513922	SMP	1	621.91	580.29	
368530059	SMP	1	622.55	576.90	
368547095	SMP	1	621.40	578.52	
368563649	SMP	1	621.86	579.98	
368579846	SMP	1	621.57	577.93	
368596969	SMP	1	621.21	578.23	
368613258	SMP	1	621.16	579.41	
368629693	SMP	1	620.82	576.78	
368646167	SMP	1	622.50	575.37	
368662794	SMP	1	620.43	577.75	
368680094	SMP	1	619.48	578.05	
368696123	SMP	1	622.19	575.62	
368713044	SMP	1	621.18	576.78	
368729542	SMP	1	622.45	574.93	
368745776	SMP	1	623.60	573.40	
368762475	SMP	1	622.08	574.75	
368778860	SMP	1	623.04	575.26	
368796092	SMP	1	623.18	575.83	
368812758	SMP	1	622.67	576.00	
368828924	SMP	1	622.11	575.18	
368845742	SMP	1	622.49	574.48	
368862125	SMP	1	622.68	575.30	
368878840	SMP	1	621.64	575.79	
368895285	SMP	1	621.27	575.66	
368911648	SMP	1	622.00	576.86	
368928634	SMP	1	622.07	576.95	
368944957	SMP	1	619.71	578.11	
368962049	SMP	1	618.84	579.34	
368978698	SMP	1	620.31	576.59	
368994917	SMP	1	618.31	579.48	
369011883	SMP	1	619.47	577.41	
369027865	SMP	1	621.19	575.88	
369044843	SMP	1	620.36	575.56	
369061148	SMP	1	618.51	578.09	
369077804	SMP	1	618.00	579.02	
369094347	SMP	1	618.09	579.33	
369111200	SMP	1	618.86	576.45	
369127487	SMP	1	617.49	577.26	
369144247	SMP	1	617.06	579.34	
369160620	SMP	1	617.18	577.33	
369177322	SMP	1	617.96	576.68	
369193824	SMP	1	615.59	579.70	
369210781	SMP	1	614.44	579.86	
369227516	SMP	1	615.47	580.25	
369243546	SMP	1	615.16	579.69	
369260852	SMP	1	613.74	578.47	
369276969	SMP	1	615.44	579.20	
369294210	SMP	1	615.52	579.00	
369310198	SMP	1	615.29	577.95	
369326511	SMP	1	614.21	577.64	
369343574	SMP	1	615.36	578.27	
369359943	SMP	1	614.88	578.77	
369377076	SMP	1	615.23	577.88	
369393581	SMP	1	613.13	578.18	
369409610	SMP	1	613.40	578.49	
369426287	SMP	1	614.80	576.17	
369442932	SMP	1	614.30	579.52	
369459626	SMP	1	614.01	578.17	
369476254	SMP	1	614.06	577.46	
369492702	SMP	1	615.54	575.61	
369509449	SMP	1	616.95	577.24	
369525784	SMP	1	614.27	575.46	
369542593	SMP	1	614.88	573.78	
369559047	SMP	1	614.20	574.23	
369575556	SMP	1	613.82	574.03	
369592529	SMP	1	613.97	574.26	
369608761	SMP	1	614.41	574.33	
369625712	SMP	1	613.38	573.86	
369642512	SMP	1	613.40	573.75	
369658718	SMP	1	614.74	572.29	
369675040	SMP	1	613.83	574.15	
369691866	SMP	1	612.82	571.28	
369708526	SMP	1	613.69	571.25	
369725403	SMP	1	614.56	570.60	
369741430	SMP	1	613.64	569.72	
369758464	SMP	1	614.15	570.48	
369774581	SMP	1	614.01	570.20	
369791584	SMP	1	614.04	569.28	
369808293	SMP	1	614.01	569.54	
369824455	SMP	1	614.00	571.86	
369841149	SMP	1	614.36	570.10	
369857594	SMP	1	614.93	572.25	
369874458	SMP	1	613.45	572.35	
369891068	SMP	1	611.18	573.99	
369907623	SMP	1	612.53	575.27	
369924114	SMP	1	613.51	574.39	
369940738	SMP	1	612.76	575.60	
369957487	SMP	1	612.33	575.46	
369974031	SMP	1	612.70	577.33	
369990448	SMP	1	611.04	580.58	
370007513	SMP	1	607.34	597.32	
370023880	SMP	1	634.57	509.66	
370040868	SMP	1	693.07	250.27	
370057470	SMP	1	NaN	NaN	
370073555	SMP	1	NaN	NaN	
370090225	SMP	1	NaN	NaN	
370106859	SMP	1	NaN	NaN	
370123150	SMP	1	NaN	NaN	
