## [BeGaze]
## Converted from:	F:\SMI-A\Madison test\madison-[d5b25234-9881-432f-aa23-9764dd3f39f6]\madison-1-unified.smi
## Date:	25.11.2015 20:26:48
## Version:	BeGaze 3.6.40
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	5126
## Reversed:	none
## [Run]
## Subject:	madison
## Description:	Run1
## [Calibration]
## Calibration Area:	960	720
## [Geometry]
## Stimulus Dimension [mm]:	960	720
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT
##
Time	Type	Trial	B POR X [px]	B POR Y [px]
458062089	SMP	1	487.39	164.88	
458078680	SMP	1	543.04	706.89	
458095457	SMP	1	551.74	480.77	
458111886	SMP	1	556.35	439.87	
458128628	SMP	1	562.41	425.36	
458144982	SMP	1	565.42	418.83	
458161794	SMP	1	568.12	415.32	
458178159	SMP	1	570.55	413.66	
458194806	SMP	1	574.85	411.83	
458211402	SMP	1	577.90	411.36	
458228098	SMP	1	580.07	410.28	
458244664	SMP	1	583.76	408.34	
458261188	SMP	1	587.64	406.76	
458277871	SMP	1	590.77	405.89	
458294551	SMP	1	591.23	406.73	
458311042	SMP	1	593.24	408.26	
458327576	SMP	1	595.67	408.89	
458344185	SMP	1	597.06	408.36	
458361271	SMP	1	598.97	409.07	
458377428	SMP	1	604.52	408.51	
458393966	SMP	1	606.36	411.83	
458410869	SMP	1	586.89	409.32	
458427715	SMP	1	525.39	385.49	
458443778	SMP	1	456.34	369.36	
458460393	SMP	1	391.13	357.95	
458476913	SMP	1	332.84	352.02	
458493551	SMP	1	275.62	338.32	
458510161	SMP	1	221.01	337.87	
458526731	SMP	1	184.97	338.20	
458543355	SMP	1	150.77	345.21	
458559935	SMP	1	136.11	344.12	
458576578	SMP	1	144.60	341.06	
458593180	SMP	1	154.28	338.32	
458609631	SMP	1	159.67	334.67	
458626319	SMP	1	167.71	332.32	
458642927	SMP	1	175.64	330.65	
458659506	SMP	1	184.29	327.38	
458676053	SMP	1	192.53	326.34	
458692654	SMP	1	200.46	322.28	
458709276	SMP	1	212.37	322.68	
458726240	SMP	1	221.42	321.02	
458742430	SMP	1	233.56	320.35	
458759042	SMP	1	247.14	318.10	
458775718	SMP	1	260.22	314.30	
458792386	SMP	1	263.23	318.63	
458809233	SMP	1	185.74	306.04	
458825543	SMP	1	76.68	291.63	
458842097	SMP	1	-41.30	240.57	
458858698	SMP	1	-160.80	206.83	
458875451	SMP	1	-249.66	258.40	
458891835	SMP	1	-302.87	240.38	
458908447	SMP	1	-315.75	238.03	
458925055	SMP	1	-291.16	241.59	
458941737	SMP	1	-230.80	235.99	
458958188	SMP	1	-176.74	234.37	
458974768	SMP	1	-131.07	227.19	
458991441	SMP	1	-89.35	224.72	
459008048	SMP	1	-65.53	225.14	
459025472	SMP	1	-36.01	223.96	
459041189	SMP	1	-27.11	230.32	
459057872	SMP	1	-9.93	229.02	
459074432	SMP	1	4.98	232.12	
459091192	SMP	1	16.73	236.55	
459107539	SMP	1	25.48	235.58	
459124193	SMP	1	40.69	234.86	
459140787	SMP	1	57.48	238.76	
459157287	SMP	1	70.59	244.22	
459173901	SMP	1	83.45	246.24	
459190761	SMP	1	95.21	247.80	
459207374	SMP	1	103.83	253.78	
459223856	SMP	1	117.40	255.06	
459240300	SMP	1	126.91	252.97	
459256955	SMP	1	134.20	255.23	
459273665	SMP	1	145.43	255.27	
459290100	SMP	1	155.85	250.53	
459306818	SMP	1	164.07	248.21	
459323478	SMP	1	177.64	247.50	
459339964	SMP	1	187.84	246.02	
459357458	SMP	1	200.71	246.82	
459373078	SMP	1	212.59	244.03	
459389708	SMP	1	222.85	243.06	
459406315	SMP	1	231.16	242.03	
459423015	SMP	1	241.26	241.55	
459439436	SMP	1	252.23	241.45	
459456129	SMP	1	260.87	243.48	
459472790	SMP	1	268.59	241.19	
459489631	SMP	1	274.53	240.71	
459505899	SMP	1	282.38	242.22	
459522646	SMP	1	288.71	240.57	
459539187	SMP	1	291.07	240.22	
459555781	SMP	1	297.78	239.32	
459572334	SMP	1	298.19	240.27	
459588842	SMP	1	301.08	239.00	
459605449	SMP	1	303.27	239.25	
459622034	SMP	1	305.62	238.60	
459638606	SMP	1	296.08	230.88	
459655405	SMP	1	249.94	202.66	
459671826	SMP	1	250.85	194.47	
459688576	SMP	1	249.84	192.12	
459705134	SMP	1	250.60	192.53	
459721886	SMP	1	251.19	193.24	
459738487	SMP	1	254.19	192.73	
459754804	SMP	1	256.99	195.09	
459771501	SMP	1	259.77	196.66	
459788121	SMP	1	261.00	202.23	
459804590	SMP	1	263.11	206.39	
459821192	SMP	1	264.92	209.48	
459837844	SMP	1	267.38	211.86	
459854369	SMP	1	267.81	212.56	
459870956	SMP	1	268.38	212.05	
459887551	SMP	1	270.21	213.39	
459904171	SMP	1	270.36	211.62	
459920739	SMP	1	271.39	212.10	
459937331	SMP	1	274.16	212.35	
459953910	SMP	1	272.60	211.73	
459970610	SMP	1	274.65	208.54	
459987133	SMP	1	275.25	207.86	
460003723	SMP	1	273.65	205.31	
460020438	SMP	1	273.35	202.63	
460036941	SMP	1	272.62	199.76	
460053553	SMP	1	271.66	198.55	
460070099	SMP	1	269.49	199.10	
460086695	SMP	1	267.63	197.61	
460103703	SMP	1	261.61	197.04	
460120105	SMP	1	255.77	197.87	
460136734	SMP	1	249.06	195.08	
460153899	SMP	1	239.54	195.12	
460169679	SMP	1	234.52	192.77	
460186312	SMP	1	225.34	194.20	
460202895	SMP	1	219.49	193.65	
460219475	SMP	1	210.88	191.14	
460236055	SMP	1	206.38	188.73	
460252745	SMP	1	201.65	185.73	
460269338	SMP	1	199.45	184.38	
460286101	SMP	1	201.82	176.27	
460302438	SMP	1	201.98	173.28	
460319162	SMP	1	202.27	167.97	
460335703	SMP	1	204.90	164.78	
460352943	SMP	1	205.67	162.93	
460368794	SMP	1	210.97	164.31	
460385415	SMP	1	211.26	162.67	
460402034	SMP	1	213.25	163.49	
460418541	SMP	1	212.87	166.31	
460435361	SMP	1	211.92	169.09	
460451836	SMP	1	212.77	171.61	
460468505	SMP	1	213.13	173.21	
460484985	SMP	1	222.15	176.01	
460501689	SMP	1	293.31	194.34	
460518326	SMP	1	435.10	196.69	
460534869	SMP	1	566.10	235.49	
460551359	SMP	1	NaN	NaN	
460568076	SMP	1	NaN	NaN	
460584612	SMP	1	652.96	383.98	
460601482	SMP	1	NaN	NaN	
460618049	SMP	1	NaN	NaN	
460634819	SMP	1	1199.33	315.68	
460650991	SMP	1	1181.74	323.83	
460667524	SMP	1	1066.60	293.90	
460684194	SMP	1	1003.63	280.02	
460700696	SMP	1	985.71	284.15	
460717368	SMP	1	969.83	285.74	
460734000	SMP	1	940.79	278.90	
460750660	SMP	1	919.38	273.53	
460767305	SMP	1	908.75	270.69	
460783702	SMP	1	890.86	269.14	
460800377	SMP	1	878.20	270.81	
460816882	SMP	1	869.33	271.22	
460833565	SMP	1	858.14	269.54	
460850149	SMP	1	842.58	266.43	
460866705	SMP	1	837.23	267.50	
460883367	SMP	1	823.19	263.60	
460900013	SMP	1	808.48	264.02	
460916446	SMP	1	800.64	261.73	
460933047	SMP	1	796.44	259.19	
460949768	SMP	1	783.24	256.35	
460966278	SMP	1	775.12	254.93	
460982814	SMP	1	772.48	254.90	
